fi_id_cou;ser_nameshort;fi_date;fi_year;ge_stage;lengthmm;weightg;fi_comment
212627;VilTG;2013-07-29;2013;VIA2;69.5;0.247;
212623;VilTG;2013-07-29;2013;VIA0;65;0.216;
215479;VilTG;2013-12-04;2013;VIA0;75;0.37;
215464;VilTG;2013-12-04;2013;VB;81;0.474;
215513;VilTG;2013-12-04;2013;VIA2;78;0.42;
215512;VilTG;2013-12-04;2013;VIA1;72;0.316;
215511;VilTG;2013-12-04;2013;VIA0;80;0.467;
215510;VilTG;2013-12-04;2013;VIA2;79;0.493;
215509;VilTG;2013-12-04;2013;VIA0;69;0.278;
215508;VilTG;2013-12-04;2013;VIA4;70;0.278;
215465;VilTG;2013-12-04;2013;VB;78;0.394;
215466;VilTG;2013-12-04;2013;VIA0;75.5;0.379;
215507;VilTG;2013-12-04;2013;VB;75;0.389;
215467;VilTG;2013-12-04;2013;VB;76;0.309;
215506;VilTG;2013-12-04;2013;VIA0;75;0.418;
215468;VilTG;2013-12-04;2013;VB;79.5;0.455;
215505;VilTG;2013-12-04;2013;VIA0;81;0.397;
215504;VilTG;2013-12-04;2013;VB;79.5;0.436;
215469;VilTG;2013-12-04;2013;VIA2;78;0.352;
215503;VilTG;2013-12-04;2013;VIA0;75;0.392;
215502;VilTG;2013-12-04;2013;VIA0;73;0.358;
215501;VilTG;2013-12-04;2013;VIA3;81.5;0.461;
215500;VilTG;2013-12-04;2013;VIA1;77;0.344;
215499;VilTG;2013-12-04;2013;VIA1;79;0.418;
215470;VilTG;2013-12-04;2013;VIA2;78.5;0.394;
215498;VilTG;2013-12-04;2013;VIA2;76;0.396;
215497;VilTG;2013-12-04;2013;VB;75.5;0.359;
215471;VilTG;2013-12-04;2013;VIA0;79.5;0.421;
215472;VilTG;2013-12-04;2013;VIA1;75;0.367;
215496;VilTG;2013-12-04;2013;VIA0;77.5;0.426;
215473;VilTG;2013-12-04;2013;VIA1;74;0.328;
215474;VilTG;2013-12-04;2013;VIA3;78;0.433;
215495;VilTG;2013-12-04;2013;VB;78;0.466;
215494;VilTG;2013-12-04;2013;VIA0;75.5;0.399;
215475;VilTG;2013-12-04;2013;VIA2;71;0.31;
215493;VilTG;2013-12-04;2013;VIA3;75.5;0.353;
215492;VilTG;2013-12-04;2013;VB;76;0.369;
215491;VilTG;2013-12-04;2013;VIA2;72;0.303;
215476;VilTG;2013-12-04;2013;VB;78.5;0.464;
215490;VilTG;2013-12-04;2013;VB;80;0.455;
215489;VilTG;2013-12-04;2013;VIA2;78;0.397;
215477;VilTG;2013-12-04;2013;VB;79.5;0.472;
215488;VilTG;2013-12-04;2013;VIA1;71.5;0.314;
215487;VilTG;2013-12-04;2013;VIA0;79;0.446;
215486;VilTG;2013-12-04;2013;VIA2;78;0.388;
215485;VilTG;2013-12-04;2013;VIA1;77;0.393;
215484;VilTG;2013-12-04;2013;VIA2;80.5;0.42;
215483;VilTG;2013-12-04;2013;VIA4;75.5;0.334;
215482;VilTG;2013-12-04;2013;VIA0;71;0.277;
215481;VilTG;2013-12-04;2013;VIA2;75.5;0.4;
215478;VilTG;2013-12-04;2013;VIA0;84.5;0.522;
215480;VilTG;2013-12-04;2013;VIA2;79;0.429;
227970;VilTG;2014-03-24;2014;VIA3;76;0.357;
227980;VilTG;2014-03-24;2014;VIA4;73.5;0.3;
227979;VilTG;2014-03-24;2014;VIA4;70.5;0.209;
227978;VilTG;2014-03-24;2014;VIA4;72;0.273;
227977;VilTG;2014-03-24;2014;VIA3;73.5;0.305;
227976;VilTG;2014-03-24;2014;VIA3;69;0.263;
227975;VilTG;2014-03-24;2014;VIA3;69;0.31;
227974;VilTG;2014-03-24;2014;VIA3;66.5;0.222;
227973;VilTG;2014-03-24;2014;VIA4;72;0.294;
227972;VilTG;2014-03-24;2014;VIA3;67;0.235;
227971;VilTG;2014-03-24;2014;VIA4;68.5;0.284;
227969;VilTG;2014-03-24;2014;VIA1;66.5;0.243;
227968;VilTG;2014-03-24;2014;VIA2;65.5;0.243;
227967;VilTG;2014-03-24;2014;VIA3;78;0.406;
227966;VilTG;2014-03-24;2014;VIA2;76;0.339;
227965;VilTG;2014-03-24;2014;VIA4;71;0.274;
227964;VilTG;2014-03-24;2014;VIA2;71.5;0.241;
227963;VilTG;2014-03-24;2014;VIA4;72;0.282;
227962;VilTG;2014-03-24;2014;VIA2;72.5;0.341;
227961;VilTG;2014-03-24;2014;VIA2;70.5;0.261;
227960;VilTG;2014-03-24;2014;VIA4;72.5;0.232;
227959;VilTG;2014-03-24;2014;VIA2;71;0.314;
227958;VilTG;2014-03-24;2014;VIA3;67;0.193;
227957;VilTG;2014-03-24;2014;VIA4;70.5;0.319;
227956;VilTG;2014-03-24;2014;VIA4;72.5;0.269;
227955;VilTG;2014-03-24;2014;VIA2;65;0.224;
227954;VilTG;2014-03-24;2014;VIA2;77;0.374;
227953;VilTG;2014-03-24;2014;VIA4;71;0.273;
227952;VilTG;2014-03-24;2014;VIA4;67;0.209;
227951;VilTG;2014-03-24;2014;VIA2;71.5;0.284;
227950;VilTG;2014-03-24;2014;VIA2;69;0.235;
227949;VilTG;2014-03-24;2014;VIA2;73;0.256;
227948;VilTG;2014-03-24;2014;VIA4;68;0.272;
227947;VilTG;2014-03-24;2014;VIA4;76.5;0.341;
227946;VilTG;2014-03-24;2014;VIA4;80;0.381;
227945;VilTG;2014-03-24;2014;VIA3;75.5;0.408;
227944;VilTG;2014-03-24;2014;VIA4;65.5;0.209;
227943;VilTG;2014-03-24;2014;VIA1;66;0.223;
227942;VilTG;2014-03-24;2014;VIA2;66.5;0.189;
227941;VilTG;2014-03-24;2014;VIA4;72.5;0.307;
227940;VilTG;2014-03-24;2014;VIA3;77;0.326;
227939;VilTG;2014-03-24;2014;VIA4;71;0.257;
227938;VilTG;2014-03-24;2014;VIA3;69;0.225;
227937;VilTG;2014-03-24;2014;VIA4;74;0.301;
227936;VilTG;2014-03-24;2014;VIA1;71.5;0.261;
227935;VilTG;2014-03-24;2014;VIA3;72;0.311;
227934;VilTG;2014-03-24;2014;VIA2;66;0.225;
227933;VilTG;2014-03-24;2014;VIA4;67;0.229;
228583;VilTG;2014-05-05;2014;VIA2;64.5;0.182;
228603;VilTG;2014-05-05;2014;VIA4;69.5;0.232;
228602;VilTG;2014-05-05;2014;VIA4;72;0.272;
228572;VilTG;2014-05-05;2014;VIA1;62.5;0.156;
228610;VilTG;2014-05-05;2014;VIA4;68.5;0.228;
228571;VilTG;2014-05-05;2014;VIA4;72.5;0.239;
228591;VilTG;2014-05-05;2014;VIA4;67;0.201;
228570;VilTG;2014-05-05;2014;VIA4;67.5;0.173;
228569;VilTG;2014-05-05;2014;VIA4;74.5;0.291;
228568;VilTG;2014-05-05;2014;VIA4;74;0.268;
228567;VilTG;2014-05-05;2014;VIA1;71.5;0.231;
228566;VilTG;2014-05-05;2014;VIA4;67.5;0.18;
228590;VilTG;2014-05-05;2014;VIA4;61;0.143;
228582;VilTG;2014-05-05;2014;VIA1;67.5;0.246;
228594;VilTG;2014-05-05;2014;VIA4;73;0.324;
228565;VilTG;2014-05-05;2014;VIA4;73;0.294;
228611;VilTG;2014-05-05;2014;VIA4;70.5;0.248;
228564;VilTG;2014-05-05;2014;VIA4;64;0.162;
228581;VilTG;2014-05-05;2014;VIA2;70;0.223;
228559;VilTG;2014-05-05;2014;VIA3;68;0.206;
228604;VilTG;2014-05-05;2014;VIA3;71;0.237;
228601;VilTG;2014-05-05;2014;VIA2;73.5;0.233;
228589;VilTG;2014-05-05;2014;VIA2;73.5;0.283;
