date;year;length;weight;stage;age;trap count;total count;;;;;;
24-05-1996;1996;69.53;0.220;4;0;NA;NA;;;;;;
24-05-1996;1996;66.55;0.210;3;0;NA;NA;;;;;;
24-05-1996;1996;60.83;0.160;3;0;NA;NA;;;;;;
24-05-1996;1996;67.55;0.250;2;0;NA;NA;;;;;;
24-05-1996;1996;70.18;0.250;2;0;NA;NA;;;;;;
24-05-1996;1996;61.99;0.180;3;0;NA;NA;;;;;;
24-05-1996;1996;68.13;0.260;3;0;NA;NA;;;;;;
24-05-1996;1996;64.14;0.180;4;0;NA;NA;;;;;;
24-05-1996;1996;63.39;0.210;3;0;NA;NA;;;;;;
24-05-1996;1996;67.56;0.210;5;0;NA;NA;;;;;;
24-05-1996;1996;61.45;0.210;3;0;NA;NA;;;;;;
27-05-1996;1996;63.92;0.230;4;0;NA;NA;;;;;;
27-05-1996;1996;65.27;0.260;3;0;NA;NA;;;;;;
27-05-1996;1996;58.73;0.130;3;0;NA;NA;;;;;;
27-05-1996;1996;64.70;0.210;3;0;NA;NA;;;;;;
27-05-1996;1996;66.17;0.270;3;0;NA;NA;;;;;;
27-05-1996;1996;64.58;0.250;4;0;NA;NA;;;;;;
27-05-1996;1996;61.02;0.180;3;0;NA;NA;;;;;;
27-05-1996;1996;69.87;0.320;4;0;NA;NA;;;;;;
27-05-1996;1996;61.18;0.200;3;0;NA;NA;;;;;;
27-05-1996;1996;65.81;0.240;2;0;NA;NA;;;;;;
27-05-1996;1996;56.80;0.140;5;0;NA;NA;;;;;;
27-05-1996;1996;55.55;0.170;3;0;NA;NA;;;;;;
27-05-1996;1996;63.70;0.230;4;0;NA;NA;;;;;;
27-05-1996;1996;62.63;0.220;5;0;NA;NA;;;;;;
27-05-1996;1996;63.11;0.200;4;0;NA;NA;;;;;;
27-05-1996;1996;67.43;0.270;2;0;NA;NA;;;;;;
27-05-1996;1996;60.83;0.110;4;0;NA;NA;;;;;;
27-05-1996;1996;60.43;0.180;4;0;NA;NA;;;;;;
27-05-1996;1996;55.93;0.170;4;0;NA;NA;;;;;;
27-05-1996;1996;60.06;0.180;3;0;NA;NA;;;;;;
27-05-1996;1996;56.98;0.160;3;0;NA;NA;;;;;;
27-05-1996;1996;56.23;0.150;6;0;NA;NA;;;;;;
27-05-1996;1996;67.64;0.260;4;0;NA;NA;;;;;;
27-05-1996;1996;66.74;0.250;4;0;NA;NA;;;;;;
27-05-1996;1996;54.34;0.150;3;0;NA;NA;;;;;;
27-05-1996;1996;58.98;0.180;3;0;NA;NA;;;;;;
27-05-1996;1996;62.95;0.210;3;0;NA;NA;;;;;;
27-05-1996;1996;64.59;0.220;4;0;NA;NA;;;;;;
27-05-1996;1996;60.19;0.190;5;0;NA;NA;;;;;;
27-05-1996;1996;59.06;0.190;4;0;NA;NA;;;;;;
27-05-1996;1996;66.47;0.240;3;0;NA;NA;;;;;;
27-05-1996;1996;67.82;0.260;5;0;NA;NA;;;;;;
27-05-1996;1996;60.44;0.190;4;0;NA;NA;;;;;;
27-05-1996;1996;54.98;0.130;3;0;NA;NA;;;;;;
27-05-1996;1996;63.08;0.210;3;0;NA;NA;;;;;;
27-05-1996;1996;56.68;0.130;4;0;NA;NA;;;;;;
27-05-1996;1996;57.29;0.170;5;0;NA;NA;;;;;;
27-05-1996;1996;58.15;0.160;3;0;NA;NA;;;;;;
27-05-1996;1996;63.45;0.260;4;0;NA;NA;;;;;;
27-05-1996;1996;65.55;0.270;3;0;NA;NA;;;;;;
27-05-1996;1996;64.51;0.270;3;0;NA;NA;;;;;;
27-05-1996;1996;59.33;0.170;4;0;NA;NA;;;;;;
27-05-1996;1996;53.15;0.180;2;0;NA;NA;;;;;;
27-05-1996;1996;61.13;0.230;2;0;NA;NA;;;;;;
27-05-1996;1996;61.58;0.220;4;0;NA;NA;;;;;;
27-05-1996;1996;56.15;0.130;2;0;NA;NA;;;;;;
27-05-1996;1996;60.24;0.170;4;0;NA;NA;;;;;;
27-05-1996;1996;53.90;0.120;5;0;NA;NA;;;;;;
27-05-1996;1996;58.53;0.180;5;0;NA;NA;;;;;;
27-05-1996;1996;62.81;0.180;2;0;NA;NA;;;;;;
29-05-1996;1996;65.55;0.180;4;0;NA;NA;;;;;;
29-05-1996;1996;58.01;0.120;4;0;NA;NA;;;;;;
29-05-1996;1996;59.54;0.150;6;0;NA;NA;;;;;;
29-05-1996;1996;61.58;0.160;5;0;NA;NA;;;;;;
29-05-1996;1996;64.66;0.220;5;0;NA;NA;;;;;;
29-05-1996;1996;67.34;0.230;4;0;NA;NA;;;;;;
29-05-1996;1996;61.43;0.150;4;0;NA;NA;;;;;;
29-05-1996;1996;62.68;0.190;2;0;NA;NA;;;;;;
29-05-1996;1996;58.61;0.160;5;0;NA;NA;;;;;;
29-05-1996;1996;67.33;0.240;4;0;NA;NA;;;;;;
29-05-1996;1996;57.82;0.130;5;0;NA;NA;;;;;;
29-05-1996;1996;61.29;0.160;3;0;NA;NA;;;;;;
29-05-1996;1996;59.45;0.160;3;0;NA;NA;;;;;;
29-05-1996;1996;58.91;0.130;4;0;NA;NA;;;;;;
29-05-1996;1996;54.83;0.100;3;0;NA;NA;;;;;;
29-05-1996;1996;59.04;0.150;4;0;NA;NA;;;;;;
29-05-1996;1996;58.85;0.140;3;0;NA;NA;;;;;;
29-05-1996;1996;60.86;0.190;3;0;NA;NA;;;;;;
29-05-1996;1996;60.20;0.150;3;0;NA;NA;;;;;;
29-05-1996;1996;63.17;0.190;5;0;NA;NA;;;;;;
29-05-1996;1996;56.88;0.140;3;0;NA;NA;;;;;;
29-05-1996;1996;58.21;0.170;3;0;NA;NA;;;;;;
29-05-1996;1996;56.48;0.140;3;0;NA;NA;;;;;;
29-05-1996;1996;63.38;0.200;3;0;NA;NA;;;;;;
29-05-1996;1996;58.15;0.140;5;0;NA;NA;;;;;;
29-05-1996;1996;61.12;0.180;4;0;NA;NA;;;;;;
29-05-1996;1996;56.54;0.140;3;0;NA;NA;;;;;;
29-05-1996;1996;67.66;0.250;3;0;NA;NA;;;;;;
29-05-1996;1996;66.21;0.180;4;0;NA;NA;;;;;;
29-05-1996;1996;59.45;0.180;3;0;NA;NA;;;;;;
29-05-1996;1996;59.04;0.150;4;0;NA;NA;;;;;;
29-05-1996;1996;70.63;0.310;4;0;NA;NA;;;;;;
29-05-1996;1996;56.37;0.140;3;0;NA;NA;;;;;;
29-05-1996;1996;62.47;0.190;4;0;NA;NA;;;;;;
29-05-1996;1996;59.71;0.160;3;0;NA;NA;;;;;;
29-05-1996;1996;61.97;0.150;5;0;NA;NA;;;;;;
29-05-1996;1996;60.53;0.140;3;0;NA;NA;;;;;;
29-05-1996;1996;59.03;0.140;4;0;NA;NA;;;;;;
29-05-1996;1996;59.84;0.130;4;0;NA;NA;;;;;;
29-05-1996;1996;55.89;0.140;4;0;NA;NA;;;;;;
29-05-1996;1996;59.46;0.160;5;0;NA;NA;;;;;;
29-05-1996;1996;59.65;0.170;2;0;NA;NA;;;;;;
29-05-1996;1996;60.49;0.150;4;0;NA;NA;;;;;;
29-05-1996;1996;53.15;0.100;3;0;NA;NA;;;;;;
29-05-1996;1996;57.26;0.120;3;0;NA;NA;;;;;;
29-05-1996;1996;58.27;0.130;4;0;NA;NA;;;;;;
29-05-1996;1996;67.11;0.260;4;0;NA;NA;;;;;;
29-05-1996;1996;66.80;0.180;3;0;NA;NA;;;;;;
29-05-1996;1996;63.03;0.180;3;0;NA;NA;;;;;;
29-05-1996;1996;69.21;0.260;4;0;NA;NA;;;;;;
31-05-1996;1996;60.10;0.140;6;0;NA;NA;;;;;;
31-05-1996;1996;72.55;0.280;5;0;NA;NA;;;;;;
31-05-1996;1996;67.94;0.220;4;0;NA;NA;;;;;;
31-05-1996;1996;64.44;0.160;4;0;NA;NA;;;;;;
31-05-1996;1996;61.84;0.180;3;0;NA;NA;;;;;;
31-05-1996;1996;68.13;0.260;4;0;NA;NA;;;;;;
31-05-1996;1996;62.23;0.200;4;0;NA;NA;;;;;;
31-05-1996;1996;68.52;0.240;4;0;NA;NA;;;;;;
31-05-1996;1996;66.65;0.250;4;0;NA;NA;;;;;;
